اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
The Elder Scrolls V: Skyrim,Dual Core 2.0 GHz,2 GB,NVIDIA GeForce 7600 GS / ATI Radeon X1950 Pro,6 GB,Windows 7/Vista/XP,Quad-core Intel/AMD CPU,4 GB,NVIDIA GTX 260 / ATI Radeon HD 4890,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls V: Skyrim Special Edition,Intel i5-750/AMD Phenom II X4-945,8 GB,NVIDIA GTX 470 1GB /AMD HD 7870 2GB,12 GB,Windows 7/8.1/10 64-bit,Intel i5-2400/AMD FX-8320,8 GB,NVIDIA GTX 780 3GB /AMD R9 290 4GB,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Elder Scrolls V: Skyrim VR,Intel Core i5-6600K / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 970 / AMD Radeon RX 480,15 GB,Windows 7/8.1/10 64-bit,Intel Core i7-4790 / AMD Ryzen 5 1500X,16 GB,NVIDIA GTX 1070 / AMD Radeon RX Vega 56,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Elder Scrolls IV: Oblivion,2 GHz Intel Pentium 4 / AMD equivalent,512 MB,128 MB Direct3D compatible video card,4.6 GB,Windows XP,3 GHz Intel Pentium 4 / AMD equivalent,1 GB,256 MB Direct3D compatible video card,4.6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls III: Morrowind,500 MHz Intel Pentium III / AMD equivalent,256 MB,32 MB Direct3D compatible video card,1 GB,Windows ME/98/XP/2000,1 GHz Intel Pentium III / AMD equivalent,512 MB,64 MB Direct3D compatible video card,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Elder Scrolls Online,Intel Core i3 540 / AMD A6-3620,3 GB,Direct X 9.0 compliant video card with 512MB of RAM,85 GB,Windows 7/8/10,Intel Core i5 2500K / AMD FX-8320,8 GB,Direct X 11 compliant video card with 2GB of RAM,85 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
Fallout 4,Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz,8 GB,NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB,30 GB,Windows 7/8/10 64-bit,Intel Core i7 4790 3.6 GHz/AMD FX-9590 4.7 GHz,8 GB,NVIDIA GTX 780 3GB/AMD Radeon R9 290X 4GB,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fallout 76,Intel Core i5-6600k 3.5 GHz / AMD Ryzen 3 1300X 3.5 GHz,8 GB,NVIDIA GTX 780 3GB / AMD Radeon R9 285 2GB,80 GB,Windows 7/8.1/10 64-bit,Intel Core i5-8400 2.8 GHz / AMD Ryzen 3 3100 3.6 GHz,16 GB,NVIDIA GTX 970 4GB / AMD Radeon R9 290X 4GB,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fallout: New Vegas,Dual Core 2.0 GHz,2 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,10 GB,Windows 7/Vista/XP,Intel Core 2 Duo / AMD equivalent,4 GB,NVIDIA GTX 260 / ATI Radeon HD 4870,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout 3,2.4 GHz Intel Pentium 4 / AMD equivalent,1 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,7 GB,Windows XP/Vista,Intel Core 2 Duo / AMD equivalent,2 GB,NVIDIA GTX 260 / ATI Radeon HD 4870,7 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout 2,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,600 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,600 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,600 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,600 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout Tactics,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,600 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,600 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout: Brotherhood of Steel,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,600 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,600 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Fallout Shelter,Intel Core 2 Quad CPU Q9550 @ 2.83GHz / AMD Phenom II X4 940 @ 3.0GHz,2 GB,NVIDIA GeForce GTS 250 / ATI Radeon HD 6970,5 GB,Windows 7 64-bit,Intel Core i5-2300 2.8 GHz / AMD Phenom II X4 945 3.0 GHz,4 GB,NVIDIA GTX 550 Ti / AMD Radeon HD 7870,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Wasteland 3,Intel Core i5-2380P / AMD FX-4300,8 GB,NVIDIA GeForce GTX 760 / Radeon HD 7970,55 GB,Windows 10 64-bit,Intel Core i7-3770 / AMD FX-9590,16 GB,NVIDIA GeForce GTX 1060 / Radeon RX 480,55 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Wasteland 2,Intel Core 2 Duo / AMD Athlon X2,4 GB,NVIDIA GeForce 260 / ATI Radeon HD 4850,30 GB,Windows 7/8/8.1/10,Intel Core i5 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 460 / ATI Radeon HD 5850,30 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wasteland 1: The Original Classic,Intel Pentium 4 1.0 GHz / AMD Athlon XP 1000+,256 MB,16 MB video card with DirectX 7.0 support,100 MB,Windows 95/98/ME/2000,Intel Pentium 4 1.5 GHz / AMD Athlon XP 1500+,512 MB,32 MB video card with DirectX 7.0 support,100 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Underrail,Intel Core 2 Duo / AMD Athlon X2,2 GB,NVIDIA GeForce 6600 / ATI Radeon X1300,6 GB,Windows XP,Intel Core i3 / AMD FX-6300,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Atom RPG,Intel Core 2 Duo / AMD Athlon X2,4 GB,NVIDIA GeForce 6600 / ATI Radeon X1300,5 GB,Windows 64-bit (7/8/8.1/10),Intel Core i5 / AMD FX-6300,8 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
ATOM RPG Trudograd,Intel Core 2 Duo / AMD Athlon X2,4 GB,NVIDIA GeForce 6600 / ATI Radeon X1300,10 GB,Windows 64-bit (7/8/8.1/10),Intel Core i5 / AMD FX-6300,8 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Encased,Intel Core i5-2380P / AMD FX-4300,6 GB,NVIDIA GeForce GTX 760 / Radeon HD 7970,20 GB,Windows 64-bit (7/8/8.1/10),Intel Core i7-3770 / AMD FX-9590,12 GB,NVIDIA GeForce GTX 1060 / Radeon RX 480,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Colony Ship,Intel Core i5-2380P / AMD FX-4300,6 GB,NVIDIA GeForce GTX 760 / Radeon HD 7970,10 GB,Windows 64-bit (7/8/8.1/10),Intel Core i7-3770 / AMD FX-9590,12 GB,NVIDIA GeForce GTX 1060 / Radeon RX 480,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Decadence,Intel Core 2 Duo / AMD Athlon X2,2 GB,NVIDIA GeForce 6600 / ATI Radeon X1300,3 GB,Windows XP/Vista/Windows 7/Windows 8/Windows 10,Intel Core i3 / AMD FX-6300,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Druidstone: The Secret of the Menhir Forest,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,2 GB,Windows 7 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fell Seal: Arbiter's Mark,Intel Core i3-2100 / AMD FX-4350,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,3 GB,Windows 7 64-bit,Intel Core i5-3570 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 280,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Battle Brothers,Intel Core 2 Duo / AMD Athlon X2,2 GB,NVIDIA GeForce 6600 / ATI Radeon X1300,2 GB,Windows XP/Vista/Windows 7/Windows 8/Windows 10,Intel Core i3 / AMD FX-6300,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Wartales,Intel Core i5-2380P / AMD FX-4300,6 GB,NVIDIA GeForce GTX 760 / Radeon HD 7970,20 GB,Windows 7 64-bit,Intel Core i7-3770 / AMD FX-9590,12 GB,NVIDIA GeForce GTX 1060 / Radeon RX 480,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Kenshi,64-bit Windows,6 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,14 GB,Windows 64-bit,64-bit Windows,16 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,14 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Mount & Blade II: Bannerlord,Intel Core i3-8100 / AMD Ryzen 3 1200,6 GB,Intel UHD Graphics 630 / NVIDIA GeForce GTX 660 / AMD Radeon HD 7850,60 GB,Windows 7 64-bit,Intel Core i5-9600K / AMD Ryzen 5 3600X,8 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Mount & Blade: Warband,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 9.0c support,1.2 GB,Windows XP/Vista/Windows 7,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,1 GB,128 MB video card with DirectX 9.0c support,1.2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Mount & Blade: With Fire & Sword,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 9.0c support,1.5 GB,Windows XP/Vista/Windows 7,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,1 GB,128 MB video card with DirectX 9.0c support,1.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Mount & Blade,Intel Pentium 4 2.0 GHz / AMD Athlon XP 2000+,512 MB,64 MB video card with DirectX 9.0c support,800 MB,Windows 2000/XP/Vista,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,1 GB,128 MB video card with DirectX 9.0c support,800 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Conan Exiles,Intel Quad Core i5-2500 or AMD FX-6300,6 GB,Nvidia GeForce GTX 560 Ti or AMD Radeon HD 6870,50 GB,Windows 7/8/10 64-bit,Intel Quad Core i5/i7 3.3 GHz or AMD Ryzen 7 1700,8 GB,Nvidia GeForce GTX 780 Ti/970 (High settings) and 1070 (Ultra settings) or AMD R9 290/AMD RX480 (High settings),50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
ARK: Survival Evolved,2 GHz Dual-Core 64-bit CPU,4 GB,DirectX10 Compatible GPU with 1 GB Video RAM,60 GB,Windows 7/8.1/10 64-bit,3 GHz Dual-Core 64-bit CPU,8 GB,DirectX11 Compatible GPU with 2 GB Video RAM,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
ARK: Survival Ascended,Intel Core i7-4770 / AMD Ryzen 5 1500X,16 GB,NVIDIA GeForce GTX 1050 Ti / AMD Radeon RX 470,70 GB SSD,Windows 10/11 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,32 GB,NVIDIA GeForce RTX 2070 / AMD Radeon RX 5700,70 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Rust,Intel Core i7-3770 / AMD FX-9590,10 GB,GTX 670 2GB / AMD R9 280 better,20 GB SSD,Windows 10 64-bit,Intel Core i7-4790K / AMD Ryzen 5 1500X,16 GB,GTX 980 / AMD R9 Fury,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
7 Days to Die,2.4 GHz Dual Core CPU,6 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,12 GB,Windows 7/8/10 64-bit,3.0 GHz Quad Core CPU,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon HD 7870,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
DayZ,Intel Core i5-4430,8 GB,NVIDIA GeForce GTX 760 or AMD R9 270X,16 GB,Windows 10 64-bit,Intel Core i5-6600K or AMD R5 1600X,12 GB,NVIDIA GeForce GTX 1060 or AMD RX 580,16 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
SCUM,Intel Core i5-4430 / AMD FX-6300,10 GB,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,40 GB,Windows 10 64-bit,Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 1060 6GB / AMD Radeon RX 580 8GB,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Forest,Intel Core 2 Quad Q6600 2.4 GHz,4 GB,NVIDIA GeForce GTX 560 Ti,5 GB,Windows 7 64-bit,Intel Core i5-750 2.6 GHz,8 GB,NVIDIA GeForce GTX 960,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Sons of the Forest,Intel Core i5-8400 / AMD Ryzen 3 3300X,12 GB,NVIDIA GTX 1060 3GB / AMD RX 570 4GB,20 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 2070 / AMD RX 6700 XT,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Green Hell,3.2 GHz Dual Core Processor,4 GB,GeForce GTX 660 / Radeon RX 460,8 GB,Windows 7/8/10 64-bit,3.2 GHz Quad Core Processor,8 GB,GeForce GTX 970 / Radeon RX 580,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Subnautica,Intel Core i3 / AMD Ryzen 3,8 GB,Intel HD 530 / NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 6850,20 GB,"Windows Vista SP2 or newer, 64-bit",Intel Core i5 / AMD Ryzen 5,8 GB,NVIDIA GeForce GTX 750 Ti / AMD Radeon R7 260X,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Subnautica: Below Zero,Intel Core i3 / AMD Ryzen 3,8 GB,Intel HD 530 / NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 6850,15 GB,Windows 7 64-bit,Intel Core i5 / AMD Ryzen 5,8 GB,NVIDIA GeForce GTX 750 Ti / AMD Radeon R7 260X,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Long Dark,Dual-Core Intel i5 CPU @ 2GHz+,4 GB,Intel 4xxx Series w/ 512MB VRAM or better,7 GB,Windows 7 64-bit,Intel i7 CPU @ 2.6GHz+,8 GB,nVidia GeForce GTX 555 w/ 1GB VRAM or better,7 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Don't Starve,1.7 GHz,1 GB,Radeon HD5450 or better / 256 MB,500 MB,Windows XP/Vista/Windows 7/Windows 8,1.7 GHz,2 GB,Radeon HD5450 or better / 512 MB,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Don't Starve Together,1.7 GHz,1 GB,Radeon HD5450 or better / 256 MB,750 MB,Windows Vista/Windows 7/Windows 8,1.7 GHz,4 GB,Radeon HD5450 or better / 512 MB,750 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Oxygen Not Included,Dual Core 2.0 GHz,4 GB,Intel HD 4600,2 GB,Windows 7 64-bit,Dual Core 3.0 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
RimWorld,Core 2 Duo,4 GB,Intel HD Graphics 4000,1 GB,Windows 7 64-bit,Core i5,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,1 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dwarf Fortress,Dual Core 2.4 GHz,4 GB,Intel HD Graphics 4000,500 MB,Windows XP/Vista/7/8/10,Dual Core 3.0 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Gnomoria,Dual Core 2.0 GHz,2 GB,Intel HD Graphics 4000,200 MB,Windows XP/Vista/7/8/10,Dual Core 2.5 GHz,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Stonehearth,Dual Core 2.0 GHz,4 GB,Intel HD Graphics 4000,1 GB,Windows 7/8/8.1/10,Quad Core 2.5 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Timber and Stone,Dual Core 2.0 GHz,2 GB,Intel HD Graphics 4000,500 MB,Windows XP/Vista/7/8/10,Dual Core 2.5 GHz,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Craft the World,Dual Core 2.0 GHz,2 GB,Intel HD Graphics 4000,500 MB,Windows XP/Vista/7/8/10,Dual Core 2.5 GHz,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dig or Die,Dual Core 2.0 GHz,2 GB,Intel HD Graphics 4000,500 MB,Windows XP/Vista/7/8/10,Dual Core 2.5 GHz,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
FortressCraft Evolved,Dual Core 2.0 GHz,4 GB,Intel HD Graphics 4000,5 GB,Windows XP/Vista/7/8/10,Quad Core 2.5 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Castle Story,Dual Core 2.0 GHz,4 GB,Intel HD Graphics 4000,1 GB,Windows XP/Vista/7/8/10,Quad Core 2.5 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Factorio,Dual core 3Ghz+,4 GB,512MB Dedicated Video Memory,3 GB,"Windows 10, 8, 7 (64 Bit)",Quad core 3Ghz+,8 GB,2GB Dedicated Video Memory,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Satisfactory,i5-3570 3.4 GHz 4 Core,8 GB,NVIDIA GTX 770 2GB / AMD Radeon R9 280 3GB,20 GB,Windows 10 64-bit,i5-4670 3.4 GHz 4 Core,16 GB,NVIDIA GTX 1060 6GB / AMD RX 580 8GB,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dyson Sphere Program,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,3 GB,Windows 7 64-bit,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Shapez,2 GHz Dual Core,4 GB,Intel HD Graphics 4000,300 MB,Windows 10 64-bit,2 GHz Dual Core,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,300 MB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Mindustry,1.5 GHz,1 GB,Any,200 MB,Windows 7 64-bit,2.0 GHz,2 GB,Any,200 MB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Slay the Spire,2.0 GHz,4 GB,"256 MB Video Memory, OpenGL 2.0+",1 GB,Windows XP 64-bit,2.2 GHz,8 GB,512 MB Video Memory,1 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Monster Train,2.0 GHz,4 GB,"256 MB Video Memory, OpenGL 2.0+",2 GB,Windows 7 64-bit,2.5 GHz,8 GB,512 MB Video Memory,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Griftlands,2.0 GHz,4 GB,Intel HD Graphics 4000,4 GB,Windows 7 64-bit,2.5 GHz,8 GB,NVIDIA GTX 660 / AMD Radeon HD 7870,4 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Inscryption,Intel Core i5-2400 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,3 GB,Windows 7 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GeForce GTX 960 / AMD Radeon R9 280,3 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Loop Hero,Intel Core i3-4160 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,200 MB,Windows 7 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GeForce GTX 960 / AMD Radeon R9 280,200 MB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Dicey Dungeons,Intel Core i3-4160 / AMD FX-6300,4 GB,Intel HD Graphics 4000,1 GB,Windows 7 64-bit,Intel Core i5-4460 / AMD FX-8350,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,1 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Into the Breach,Intel Core 2 Duo 2.0 GHz / AMD Athlon X2 2.0 GHz,2 GB,Intel HD Graphics 4000,400 MB,Windows Vista/7/8/10,Intel Core i3 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,400 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Faster Than Light,2.0 GHz,1 GB,"128 MB Video Memory, OpenGL 2.0+",250 MB,Windows XP/Vista/7/8/10,2.0 GHz,2 GB,256 MB Video Memory,250 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Dead Cells,Intel i5+,2 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB,Windows 7+,Intel i7+,4 GB,NVIDIA GTX 760 / AMD Radeon HD 7870,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Hades,Dual Core 2.4 GHz,4 GB,1GB VRAM / DirectX 10+,15 GB,Windows 7 SP1,Dual Core 3.0 GHz,8 GB,2GB VRAM / DirectX 11+,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Hades II,Dual Core 2.4 GHz,4 GB,1GB VRAM / DirectX 10+,15 GB,Windows 7 SP1,Dual Core 3.0 GHz,8 GB,2GB VRAM / DirectX 11+,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Hollow Knight,Intel Core 2 Duo E5200,4 GB,GeForce 9800GTX+ (1GB),9 GB,Windows 7,Intel Core i5,8 GB,GeForce GTX 560,9 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Hollow Knight: Silksong,Intel Core i5-4460 / AMD FX-6300,8 GB,NVIDIA GTX 760 / AMD Radeon R9 280,10 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Ori and the Blind Forest,Intel Core 2 Duo E4500 @ 2.2GHz / AMD Athlon 64 X2 5600+ @ 2.8 GHz,4 GB,NVIDIA GeForce 240 GT / AMD Radeon HD 6570,8 GB,Windows 7,Intel Core i5-2300 / AMD Phenom II X4 945,8 GB,NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 6770,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ori and the Will of the Wisps,Intel Core i5-4460 / AMD FX-6300,8 GB,NVIDIA GTX 760 / AMD Radeon R7 260X,20 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Celeste,Intel Core i3 M380,2 GB,Intel HD 4000,1200 MB,Windows 7,Intel Core i5-2300 / AMD FX-6300,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,1200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Cuphead,"Intel Core2 Duo E8400, 3.0GHz / AMD Athlon 64 X2 6000+, 3.0GHz",3 GB,NVIDIA GeForce GTS 450 / ATI Radeon HD 3870,4 GB,Windows 7,Intel Core i5-4460 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 660 / ATI Radeon HD 7870,4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Undertale,Core 2 Duo,2 GB,128 MB Video Memory,200 MB,"Windows XP, Vista, 7, 8, or 10",Core i3,4 GB,256 MB Video Memory,200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Deltarune,Core 2 Duo,2 GB,128 MB Video Memory,200 MB,"Windows XP, Vista, 7, 8, or 10",Core i3,4 GB,256 MB Video Memory,200 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
OneShot,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,"Windows XP, Vista, 7, 8, or 10",Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ib,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Mad Father,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Corpse Party,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Ao Oni,Intel Core 2 Duo,2 GB,Intel HD Graphics 4000,500 MB,Windows 7,Intel Core i3,4 GB,NVIDIA GTX 650 / AMD Radeon HD 6850,500 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
